elevation[meters], WeatherDataValidUntil, temperature[°F], temperatureTrend, windDirection, windSpeed, shortForecast
1698.9552, 2019-05-26T18:00:00-06:00, 79, falling, ENE, 5 to 9 mph, Mostly Sunny then Slight Chance Showers And Thunderstorms
0.9144000000000001, 2019-05-26T18:00:00-04:00, 88, None, W, 9 to 15 mph, Mostly Sunny
21.945600000000002, 2019-05-26T18:00:00-05:00, 90, None, SE, 10 mph, Mostly Sunny
7.010400000000001, 2019-05-26T18:00:00-05:00, 90, None, SE, 10 mph, Mostly Sunny
260.9088, 2019-05-26T18:00:00-04:00, 70, None, N, 5 mph, Chance Showers And Thunderstorms
121.92, 2019-05-26T18:00:00-05:00, 87, None, SW, 9 to 14 mph, Scattered Showers And Thunderstorms
317.9064, 2019-05-26T18:00:00-05:00, 73, None, NE, 3 mph, Sunny
274.0152, 2019-05-26T18:00:00-05:00, 80, None, S, 5 to 8 mph, Slight Chance Showers And Thunderstorms
10.972800000000001, 2019-05-26T18:00:00-07:00, 63, None, SW, 10 to 20 mph, Chance Rain Showers
1400.8608000000002, 2019-05-26T18:00:00-06:00, 72, None, SSE, 6 to 15 mph, Partly Sunny then Isolated Showers And Thunderstorms
14.9352, 2019-05-26T18:00:00-04:00, 94, falling, NNE, 5 to 8 mph, Sunny
91.1352, 2019-05-26T18:00:00-05:00, 92, falling, S, 10 to 15 mph, Mostly Sunny
1389.8880000000001, 2019-05-26T18:00:00-06:00, 70, falling, S, 8 to 17 mph, Partly Sunny then Isolated Showers And Thunderstorms
71.0184, 2019-05-26T18:00:00-07:00, 60, None, SW, 5 to 10 mph, Rain Showers
89.91600000000001, 2019-05-26T18:00:00-07:00, 61, None, SW, 5 to 10 mph, Rain Showers
365.1504, 2019-05-26T18:00:00-07:00, 57, None, SW, 5 to 15 mph, Rain Showers
313.944, 2019-05-26T18:00:00-07:00, 56, None, SW, 10 to 15 mph, Rain Showers
182.88, 2019-05-26T18:00:00-05:00, 79, None, WSW, 7 mph, Scattered Showers And Thunderstorms
9.144, 2019-05-26T18:00:00-04:00, 88, None, E, 10 to 15 mph, Sunny
0.9144000000000001, 2019-05-26T18:00:00-07:00, 60, None, SW, 5 to 10 mph, Rain Showers
1627.0224, 2019-05-26T18:00:00-06:00, 79, falling, ENE, 3 to 9 mph, Mostly Sunny then Chance Showers And Thunderstorms
9.144, 2019-05-26T18:00:00-04:00, 100, None, W, 9 mph, Sunny
2.1336, 2019-05-26T18:00:00-04:00, 87, None, E, 14 mph, Mostly Sunny
86.86800000000001, 2019-05-26T18:00:00-04:00, 84, None, W, 10 to 15 mph, Sunny then Slight Chance Showers And Thunderstorms
239.8776, 2019-05-26T18:00:00-04:00, 93, None, W, 5 to 9 mph, Sunny
28.956000000000003, 2019-05-26T18:00:00-07:00, 62, None, SW, 5 to 10 mph, Rain Showers
103.9368, 2019-05-26T18:00:00-07:00, 61, None, ESE, 5 mph, Rain Showers
3.9624, 2019-05-26T18:00:00-04:00, 87, None, E, 15 mph, Mostly Sunny
1457.8584, 2019-05-26T18:00:00-06:00, 82, None, SE, 5 to 20 mph, Partly Sunny then Slight Chance Showers And Thunderstorms
249.936, 2019-05-26T18:00:00-05:00, 72, None, NE, 5 mph, Rain Showers Likely
